Year,1660,1670,1680,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920
-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
OCCURRENCES AS PRIMARY TOPIC
Geography,0,0,2,1,0,1,3,0,3,2,2,11,8,7,7,14,5,16,7,21,24,33,17,14,14,8,4
Thermodynamics,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,2,7,31,49,38,53,94,146,108,9
Electricity,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,9,29,16,41,25,39,83,80,91,62,7
Formulae,2,1,3,6,4,5,6,4,4,10,7,20,18,11,13,24,7,26,6,71,84,32,28,22,34,48,4
Tables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,27,18,44,80,113,11
Fluid Dynamics,0,0,2,0,0,0,6,6,3,2,3,6,3,6,7,1,4,8,4,24,23,27,38,36,57,104,13
Meteorology,1,1,1,4,6,0,3,15,7,9,13,34,19,10,5,4,25,33,31,46,80,43,21,14,33,23,2
Atomic Physics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,29,50,94,143,15
Chemistry 1,10,27,17,22,50,16,25,38,53,51,40,76,76,58,64,47,33,18,9,10,8,3,2,0,0,0,0
Chemistry 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,13,13,26,129,186,61,55,28,50,32,0
Astronomy,27,22,22,12,12,25,46,50,39,43,128,60,65,50,26,37,59,19,6,20,48,9,5,11,17,0,1
Optics,1,8,0,2,0,3,4,4,1,2,3,0,5,5,14,21,14,24,17,27,39,31,37,34,48,70,2
Biography,0,0,0,0,0,1,0,0,0,0,0,3,17,1,0,2,1,21,12,38,40,19,19,19,8,14,1
Biochemistry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,3,7,16,85,120,12
Measurement,4,5,6,5,1,8,19,19,15,13,10,18,14,7,4,11,33,21,7,25,32,25,27,30,50,51,2
Biology 3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,17,23,16,34,23,26,43,29,6
Biology 1,0,0,1,2,0,1,4,0,1,2,2,8,8,2,3,3,5,2,0,3,2,1,6,23,40,35,3
Agriculture,0,0,0,1,0,0,1,0,1,1,1,0,1,5,1,0,0,1,1,1,5,3,7,1,9,7,1
Reporting,202,197,135,201,177,80,90,133,259,226,126,101,30,18,1,1,2,1,5,1,2,0,0,0,0,0,0
Botany 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,10,11,19,29,24,3
Immunology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,20,51,121,0
Nervous System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,9,13,26,42,37,37,0
Physiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,14,21,27,88,85,1
Paleontology,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,4,2,6,9,39,17,31,16,17,15,12,2
Headmatter,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,6,2,2,0,0
Neurology,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,7,19,3,13,15,17,12,0
Biology 2,21,25,33,57,68,28,67,64,88,97,50,52,24,34,58,64,62,23,15,24,20,5,1,1,0,0,0
Botany 2,2,5,2,14,12,11,10,8,11,22,18,17,7,2,2,1,0,2,0,1,1,35,1,0,5,2,0
Anatomy 2,0,0,0,0,0,1,0,0,1,0,1,1,3,2,2,9,5,0,7,17,20,27,31,17,10,4,1
Anatomy 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,3,10,19,6,4,5,1
-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
OCCURRENCES AS SECONDARY TOPIC
Geography,13,21,15,26,27,18,12,11,21,42,26,19,8,7,4,6,8,6,8,21,24,26,15,11,17,17,0
Thermodynamics,0,1,3,1,1,2,2,1,0,0,1,2,13,2,8,12,13,4,5,51,64,61,65,57,126,111,11
Electricity,0,0,0,0,2,0,0,3,4,4,3,11,8,2,4,3,11,9,12,21,21,22,38,49,70,56,9
Formulae,3,2,5,3,0,1,0,2,3,7,12,8,10,7,1,6,13,15,14,25,30,17,19,18,15,25,1
Tables,1,1,0,1,1,2,1,0,1,1,3,4,8,2,2,9,4,6,13,37,73,78,101,145,237,335,31
Fluid Dynamics,0,0,1,0,3,0,9,7,3,7,7,3,12,8,11,8,17,25,12,47,48,29,32,26,48,59,5
Meteorology,15,4,12,8,10,2,11,10,25,23,29,19,13,10,2,9,20,18,6,19,16,24,14,11,19,17,3
Atomic Physics,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,10,15,16,55,71,10
Chemistry 1,57,43,32,36,31,14,21,32,42,41,20,45,21,23,35,46,45,50,34,63,58,26,5,3,6,3,0
Chemistry 2,0,1,0,1,1,0,1,2,0,2,6,6,21,21,39,27,13,11,13,15,30,35,54,37,94,97,2
Astronomy,21,14,7,9,6,13,12,21,27,22,14,24,13,7,16,18,24,39,11,21,40,11,15,22,23,11,1
Optics,9,9,3,3,4,3,9,8,9,5,13,11,14,22,17,15,11,9,8,19,45,28,25,30,51,39,1
Biography,8,7,4,15,19,3,5,15,34,31,26,25,20,7,11,18,13,19,10,74,87,47,26,30,35,29,1
Biochemistry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,13,21,55,76,1
Measurement,11,15,19,17,15,6,10,39,32,26,24,36,17,19,9,7,28,12,7,36,48,36,43,37,45,42,3
Biology 3,0,0,0,0,0,0,0,0,2,1,2,0,1,2,2,10,10,4,9,24,19,21,31,31,57,66,2
Biology 1,2,2,1,2,1,0,3,6,3,7,3,9,3,4,2,0,3,2,0,7,9,4,8,16,27,22,6
Agriculture,2,4,0,2,5,1,1,0,0,2,1,3,0,31,1,1,0,1,1,14,27,5,2,6,6,9,0
Reporting,62,84,75,100,128,72,127,127,171,178,145,126,79,23,9,14,9,14,5,8,8,3,4,5,4,1,0
Botany 1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,6,11,3,4,9,6,1
Immunology,0,0,1,0,0,1,2,0,2,2,2,0,1,0,0,0,0,0,0,1,1,9,5,9,30,43,2
Nervous System,0,0,0,0,0,0,0,0,2,2,1,1,0,4,1,8,6,6,2,11,10,7,10,28,26,21,0
Physiology,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,8,2,3,2,5,8,11,18,12,45,44,2
Paleontology,0,0,0,0,0,0,1,0,6,8,4,2,2,0,2,3,5,3,3,11,4,25,12,5,7,10,2
Headmatter,0,1,4,3,1,0,2,2,2,6,7,6,4,1,0,0,3,3,2,8,10,13,14,14,13,7,0
Neurology,0,1,1,0,2,2,5,0,1,0,8,2,2,2,11,4,8,2,2,15,17,13,11,30,14,17,2
Biology 2,39,47,27,59,55,16,24,40,62,38,32,26,14,7,11,16,8,20,29,56,34,18,15,15,7,14,1
Botany 2,25,34,12,36,16,16,20,11,29,23,11,14,12,4,11,3,2,1,0,6,4,14,0,3,5,5,0
Anatomy 2,0,0,1,5,2,4,6,5,6,5,6,5,3,4,9,7,10,1,2,7,11,14,12,10,6,9,3
Anatomy 1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,2,0,0,3,8,6,5,16,7,5,7,1
-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
SHARE OF PRIMARY TOPIC REFERENCES
Geography,0.0,0.0,0.008888888888888889,0.003048780487804878,0.0,0.005555555555555556,0.01056338028169014,0.0,0.006134969325153374,0.004140786749482402,0.004914004914004914,0.02696078431372549,0.02666666666666667,0.0319634703196347,0.03167420814479638,0.05384615384615385,0.017482517482517484,0.05653710247349823,0.032407407407407406,0.0330188679245283,0.030379746835443037,0.05263157894736842,0.0265210608424337,0.01977401129943503,0.012100259291270527,0.006304176516942475,0.039603960396039604
Thermodynamics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002457002457002457,0.0,0.0,0.0,0.004524886877828055,0.0,0.024475524475524476,0.007067137809187279,0.032407407407407406,0.04874213836477988,0.0620253164556962,0.06060606060606061,0.08268330733229329,0.1327683615819209,0.12618841832324978,0.0851063829787234,0.0891089108910891
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002044989775051125,0.0,0.0,0.0024509803921568627,0.0033333333333333335,0.0,0.004524886877828055,0.0038461538461538464,0.03146853146853147,0.10247349823321555,0.07407407407407407,0.06446540880503145,0.03164556962025317,0.06220095693779904,0.1294851794071763,0.11299435028248588,0.07865168539325842,0.04885736800630418,0.06930693069306931
Formulae,0.007407407407407408,0.003436426116838488,0.013333333333333334,0.018292682926829267,0.012084592145015106,0.027777777777777776,0.02112676056338028,0.011695906432748537,0.0081799591002045,0.020703933747412008,0.0171990171990172,0.049019607843137254,0.06,0.0502283105022831,0.058823529411764705,0.09230769230769231,0.024475524475524476,0.09187279151943463,0.027777777777777776,0.11163522012578617,0.10632911392405063,0.051036682615629984,0.0436817472698908,0.031073446327683617,0.029386343993085567,0.037825059101654845,0.039603960396039604
Tables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014134275618374558,0.0,0.0015723270440251573,0.006329113924050633,0.0430622009569378,0.028081123244929798,0.062146892655367235,0.06914433880726016,0.08904649330181245,0.10891089108910891
Fluid Dynamics,0.0,0.0,0.008888888888888889,0.0,0.0,0.0,0.02112676056338028,0.017543859649122806,0.006134969325153374,0.004140786749482402,0.007371007371007371,0.014705882352941176,0.01,0.0273972602739726,0.03167420814479638,0.0038461538461538464,0.013986013986013986,0.028268551236749116,0.018518518518518517,0.03773584905660377,0.02911392405063291,0.0430622009569378,0.059282371294851796,0.05084745762711865,0.049265341400172864,0.08195429472025216,0.12871287128712872
Meteorology,0.003703703703703704,0.003436426116838488,0.0044444444444444444,0.012195121951219513,0.01812688821752266,0.0,0.01056338028169014,0.043859649122807015,0.014314928425357873,0.018633540372670808,0.03194103194103194,0.08333333333333333,0.06333333333333334,0.045662100456621,0.02262443438914027,0.015384615384615385,0.08741258741258741,0.1166077738515901,0.14351851851851852,0.07232704402515723,0.10126582278481013,0.0685805422647528,0.0327613104524181,0.01977401129943503,0.028522039757994815,0.018124507486209612,0.019801980198019802
Atomic Physics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021518987341772152,0.05263157894736842,0.0452418096723869,0.07062146892655367,0.08124459809853068,0.11268715524034673,0.1485148514851485
Chemistry 1,0.037037037037037035,0.09278350515463918,0.07555555555555556,0.06707317073170732,0.1510574018126888,0.08888888888888889,0.0880281690140845,0.1111111111111111,0.1083844580777096,0.10559006211180125,0.09828009828009827,0.18627450980392157,0.25333333333333335,0.2648401826484018,0.2895927601809955,0.18076923076923077,0.11538461538461539,0.0636042402826855,0.041666666666666664,0.015723270440251572,0.010126582278481013,0.004784688995215311,0.0031201248049922,0.0,0.0,0.0,0.0
Chemistry 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049773755656108594,0.06153846153846154,0.045454545454545456,0.045936395759717315,0.12037037037037036,0.2028301886792453,0.23544303797468355,0.09728867623604466,0.08580343213728549,0.03954802259887006,0.043215211754537596,0.0252167060677699,0.0
Astronomy,0.1,0.07560137457044673,0.09777777777777778,0.036585365853658534,0.03625377643504532,0.1388888888888889,0.1619718309859155,0.14619883040935672,0.07975460122699386,0.08902691511387163,0.3144963144963145,0.14705882352941177,0.21666666666666667,0.228310502283105,0.11764705882352941,0.1423076923076923,0.2062937062937063,0.06713780918727916,0.027777777777777776,0.031446540880503145,0.060759493670886074,0.014354066985645933,0.0078003120124804995,0.015536723163841809,0.014693171996542784,0.0,0.009900990099009901
Optics,0.003703703703703704,0.027491408934707903,0.0,0.006097560975609756,0.0,0.016666666666666666,0.014084507042253521,0.011695906432748537,0.002044989775051125,0.004140786749482402,0.007371007371007371,0.0,0.016666666666666666,0.0228310502283105,0.06334841628959276,0.08076923076923077,0.04895104895104895,0.08480565371024736,0.0787037037037037,0.04245283018867924,0.049367088607594936,0.049441786283891544,0.057722308892355696,0.0480225988700565,0.04148660328435609,0.055161544523246654,0.019801980198019802
Biography,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.056666666666666664,0.0045662100456621,0.0,0.007692307692307693,0.0034965034965034965,0.07420494699646643,0.05555555555555555,0.059748427672955975,0.05063291139240506,0.030303030303030304,0.029641185647425898,0.026836158192090395,0.006914433880726016,0.01103230890464933,0.009900990099009901
Biochemistry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002044989775051125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0047169811320754715,0.005063291139240506,0.004784688995215311,0.0109204368174727,0.022598870056497175,0.07346585998271392,0.09456264775413711,0.1188118811881188
